subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	detla2	nll	nllsd	success	iterations
22071401.000000	1.000000	12.000000	62.803264	-0.168723	NaN	NaN	NaN	2.063477	0.106738	NaN	NaN	NaN	249.383359	0.040366	2.000000	11.000000
22071401.000000	1.000000	8.000000	81.434650	0.050511	NaN	NaN	NaN	9.894531	-0.046777	NaN	NaN	NaN	324.945390	0.026221	2.000000	11.000000
22071401.000000	1.000000	28.000000	15.136942	0.020807	NaN	NaN	NaN	5.882324	0.236523	NaN	NaN	NaN	301.726931	0.033530	2.000000	12.000000
22071401.000000	1.000000	22.000000	99.081984	0.056753	NaN	NaN	NaN	1.809692	0.377515	NaN	NaN	NaN	248.083109	0.041626	2.000000	11.000000
22071401.000000	1.000000	4.000000	33.087689	-0.195295	NaN	NaN	NaN	14.873535	-0.299902	NaN	NaN	NaN	337.424946	0.026722	2.000000	11.000000
22071401.000000	1.000000	3.000000	97.327097	0.226262	NaN	NaN	NaN	1.664673	0.686450	NaN	NaN	NaN	248.459241	0.038731	2.000000	11.000000
22071401.000000	1.000000	21.000000	6.163209	-0.164538	NaN	NaN	NaN	2.305176	0.007715	NaN	NaN	NaN	251.024002	0.033480	2.000000	13.000000
22071401.000000	1.000000	33.000000	63.052793	0.085305	NaN	NaN	NaN	11.731445	0.395020	NaN	NaN	NaN	341.007546	0.037014	2.000000	11.000000
22071401.000000	1.000000	2.000000	64.196253	0.111678	NaN	NaN	NaN	1.861053	0.236593	NaN	NaN	NaN	248.365883	0.034550	2.000000	11.000000
22071401.000000	1.000000	30.000000	16.186423	0.048793	NaN	NaN	NaN	2.024200	0.191901	NaN	NaN	NaN	248.934592	0.033816	2.000000	11.000000
22071401.000000	1.000000	31.000000	53.960844	-0.097385	NaN	NaN	NaN	15.465698	-0.277417	NaN	NaN	NaN	339.850955	0.036361	2.000000	13.000000
22071401.000000	1.000000	35.000000	93.038656	-0.017953	NaN	NaN	NaN	1.539067	0.493662	NaN	NaN	NaN	248.529267	0.043176	2.000000	11.000000
22071401.000000	1.000000	32.000000	33.572380	0.294391	NaN	NaN	NaN	7.719238	0.078027	NaN	NaN	NaN	314.326894	0.028140	2.000000	12.000000
22071401.000000	1.000000	5.000000	47.692246	0.140447	NaN	NaN	NaN	1.737183	0.251025	NaN	NaN	NaN	248.470451	0.039864	2.000000	11.000000
22071401.000000	1.000000	40.000000	43.672536	0.359171	NaN	NaN	NaN	16.647758	-0.879605	NaN	NaN	NaN	310.913289	0.051296	2.000000	11.000000
22071401.000000	1.000000	36.000000	37.699981	-0.089803	NaN	NaN	NaN	15.115234	-0.148730	NaN	NaN	NaN	342.373344	0.035983	2.000000	12.000000
22071401.000000	1.000000	16.000000	61.457379	0.184679	NaN	NaN	NaN	9.084839	1.204858	NaN	NaN	NaN	337.178404	0.032510	2.000000	13.000000
22071401.000000	1.000000	13.000000	62.011799	0.116618	NaN	NaN	NaN	2.271526	-0.153409	NaN	NaN	NaN	252.956339	0.061484	2.000000	11.000000
22071401.000000	1.000000	19.000000	42.034630	-0.111896	NaN	NaN	NaN	3.389329	-0.271886	NaN	NaN	NaN	261.043334	0.029697	2.000000	11.000000
22071401.000000	1.000000	20.000000	15.320793	-0.111040	NaN	NaN	NaN	18.789062	-0.173486	NaN	NaN	NaN	350.230740	0.026292	2.000000	13.000000
22071401.000000	1.000000	9.000000	22.781782	0.174688	NaN	NaN	NaN	2.254570	0.103667	NaN	NaN	NaN	250.520034	0.039072	2.000000	11.000000
22071401.000000	1.000000	11.000000	1.048702	0.364206	NaN	NaN	NaN	1.939606	0.301279	NaN	NaN	NaN	248.472145	0.040393	2.000000	11.000000
22071401.000000	1.000000	15.000000	2.730127	-0.062967	NaN	NaN	NaN	2.169220	0.258844	NaN	NaN	NaN	250.216559	0.035956	2.000000	18.000000
22071401.000000	1.000000	29.000000	11.048192	-0.195530	NaN	NaN	NaN	1.794586	0.242676	NaN	NaN	NaN	248.376253	0.042887	2.000000	14.000000
22071401.000000	1.000000	14.000000	3.457280	-0.138382	NaN	NaN	NaN	1.628607	0.716990	NaN	NaN	NaN	248.560381	0.039803	2.000000	11.000000
22071401.000000	1.000000	1.000000	14.350950	0.204631	NaN	NaN	NaN	2.020726	-0.051442	NaN	NaN	NaN	251.273666	0.057630	2.000000	11.000000
22071401.000000	1.000000	7.000000	86.225074	0.215445	NaN	NaN	NaN	4.154175	-0.417822	NaN	NaN	NaN	267.915620	0.034741	1.000000	24.000000
22071401.000000	1.000000	23.000000	5.144580	-0.167597	NaN	NaN	NaN	6.800781	0.146875	NaN	NaN	NaN	308.541774	0.029978	2.000000	12.000000
22071401.000000	1.000000	26.000000	12.023204	-0.177115	NaN	NaN	NaN	1.741183	0.342182	NaN	NaN	NaN	248.019254	0.040946	2.000000	23.000000
22071401.000000	1.000000	25.000000	80.065757	0.145345	NaN	NaN	NaN	1.429161	1.122233	NaN	NaN	NaN	250.566828	0.046299	2.000000	20.000000
22071401.000000	1.000000	39.000000	23.252985	-0.079813	NaN	NaN	NaN	7.260010	0.790161	NaN	NaN	NaN	322.588660	0.027025	1.000000	22.000000
22071401.000000	1.000000	34.000000	45.848155	0.375259	NaN	NaN	NaN	3.965029	-0.511645	NaN	NaN	NaN	268.502927	0.057870	1.000000	20.000000
22071401.000000	1.000000	18.000000	61.581261	0.356872	NaN	NaN	NaN	40.582024	-0.487425	NaN	NaN	NaN	365.226390	0.025908	2.000000	20.000000
22071401.000000	1.000000	6.000000	86.681705	-0.113747	NaN	NaN	NaN	1.729234	0.428421	NaN	NaN	NaN	247.944109	0.043452	2.000000	22.000000
22071401.000000	1.000000	10.000000	31.289195	0.021955	NaN	NaN	NaN	1.700036	0.472057	NaN	NaN	NaN	247.998243	0.032682	1.000000	25.000000
22071401.000000	1.000000	24.000000	37.761855	0.393542	NaN	NaN	NaN	1.863462	0.155924	NaN	NaN	NaN	248.844953	0.036014	1.000000	26.000000
22071401.000000	1.000000	38.000000	15.564517	0.379606	NaN	NaN	NaN	8.132364	-0.744690	NaN	NaN	NaN	292.181887	0.047738	1.000000	21.000000
22071401.000000	1.000000	17.000000	34.202722	0.045505	NaN	NaN	NaN	1.782241	0.372884	NaN	NaN	NaN	248.075698	0.049380	1.000000	30.000000
22071401.000000	1.000000	27.000000	93.777266	0.237536	NaN	NaN	NaN	2.679804	-0.197368	NaN	NaN	NaN	254.858696	0.034841	1.000000	25.000000
