subID,yob,age,sex
22071401,1974,48,M
22071402,1998,26,M
22071801,1962,62,M
22071802,1999,25,M
22071803,1990,34,M
22071804,1976,48,M
22071805,1998,26,F
22071806,1983,41,F
22071901,1977,47,M
22071902,1975,49,F
22071903,1987,37,F
22071904,1982,42,F
22071905,1963,61,F
22071906,1996,28,M
22071907,1970,54,M
22071908,1988,36,F
22071909,2001,23,F
22071910,1954,70,F
22071911,1989,35,M
22071912,1995,29,M
22071913,1990,34,F
22072001,1976,48,M
22072002,1997,27,F
22072003,1973,51,M
22072004,1981,43,M
22072005,2003,21,M
22072006,1963,61,M
22072007,1994,30,F
22102401,1981,43,M
22102402,1990,34,M
22102403,1993,31,M
22102404,1965,59,F
22102405,1993,31,M
22102406,1965,59,M
22102407,1982,42,F
22102408,1963,61,M
22102409,2001,23,M
22102410,1988,36,F
22102501,1995,29,F
22102502,1995,29,F
22102503,1997,27,M
22102504,1991,33,F
22102505,1991,33,F
22102506,1996,28,F
22102507,1980,44,M
22102508,1991,33,F
22102701,1988,36,M
22102702,1991,33,F
22102703,1990,34,F
22102704,1994,30,M
22102705,1982,42,M
22102706,1959,65,F
22102707,1982,42,F
22102708,1957,67,F
22102709,1970,54,F
22110301,1987,37,F
22110302,1966,58,F
22110304,1995,29,M
22110305,1987,37,M
22110306,1984,40,M
22110307,1994,30,F
22110308,1994,30,F
22110309,1990,34,M
