Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
2	22071912	1	27	Wallet	2	10.0	1	40.0	0.502	2.306	29.142	26.835
2	22071912	2	21	Spoon	2	3.0	1	100.0	29.644	31.355	59.023	27.668
2	22071912	3	18	Robotic Vacuum Cleaner	1	90.0	1	100.0	59.525	60.397	73.605	13.208
2	22071912	4	26	Binoculars	2	30.0	1	50.0	74.106	76.550	97.949	21.399
2	22071912	5	4	Umbrella	1	20.0	1	100.0	98.451	101.076	120.875	19.799
2	22071912	6	25	Water Bottle	2	15.0	1	100.0	121.377	123.238	159.334	36.096
2	22071912	7	33	Large Coffee Machine	2	80.0	1	100.0	159.836	160.370	173.655	13.285
2	22071912	8	11	Wired Earphones	1	15.0	1	100.0	174.157	176.400	197.965	21.565
2	22071912	9	17	Drone	1	90.0	1	100.0	198.467	200.432	208.561	8.129
2	22071912	10	3	Hand Soap	1	5.0	1	90.0	209.063	211.670	233.444	21.773
2	22071912	11	22	Travel Pillow	2	30.0	1	100.0	233.945	235.086	250.376	15.290
2	22071912	12	24	Reusable Grocery Shopping Bag	2	25.0	1	100.0	250.878	252.405	291.229	38.824
2	22071912	13	1	Toothpaste	1	5.0	1	100.0	291.731	293.968	305.055	11.088
2	22071912	14	29	Wireless Phone Charger	2	40.0	1	100.0	305.557	308.091	340.098	32.007
2	22071912	15	23	Ruler	2	1.0	1	100.0	340.600	342.904	348.379	5.476
2	22071912	16	10	Speaker	1	30.0	1	90.0	348.881	351.331	373.112	21.781
2	22071912	17	28	Digital Clock	2	30.0	1	90.0	373.613	376.048	403.584	27.536
2	22071912	18	36	Kettle	2	20.0	1	100.0	404.086	405.696	449.796	44.100
2	22071912	19	20	Lighter	2	1.0	1	100.0	450.298	452.721	463.362	10.641
2	22071912	20	14	Frying Pan	1	20.0	1	90.0	463.865	465.886	479.177	13.291
2	22071912	21	12	Small Coffee Machine	1	30.0	1	100.0	479.679	480.789	491.286	10.497
2	22071912	22	8	Bookbag	1	90.0	1	100.0	491.788	494.343	499.346	5.003
2	22071912	23	15	Blender	1	30.0	1	100.0	499.848	502.307	513.322	11.014
2	22071912	24	2	Dry-Erase Marker	1	2.0	1	100.0	513.824	515.621	525.312	9.691
2	22071912	25	31	Water Filter Pitcher	2	10.0	1	100.0	525.814	526.320	533.459	7.139
2	22071912	26	7	Coffee Mug	1	15.0	1	100.0	533.961	536.456	565.638	29.182
2	22071912	27	32	Digital Weight Scale	2	30.0	1	100.0	566.140	567.188	596.578	29.390
2	22071912	28	34	Watch	2	50.0	1	100.0	597.080	599.338	619.809	20.470
2	22071912	29	9	Charging Box (Multi-Plug In)	1	15.0	1	100.0	620.310	621.853	645.118	23.265
2	22071912	30	19	Pen	2	2.0	1	100.0	645.620	646.314	654.627	8.314
2	22071912	31	13	Head Thermometer	1	50.0	1	100.0	655.129	657.532	670.234	12.702
2	22071912	32	16	Health Tracking Watch	1	75.0	1	90.0	670.736	672.312	700.558	28.246
2	22071912	33	30	Essential Oil Diffuser	2	30.0	1	100.0	701.060	702.918	715.142	12.224
2	22071912	34	6	Notebook	1	5.0	1	100.0	715.644	718.563	729.400	10.838
2	22071912	35	5	Candle	1	5.0	1	100.0	729.902	730.512	753.596	23.084
2	22071912	36	35	Underwater Camera	2	60.0	1	100.0	754.099	755.822	772.091	16.269
2	22071912	37	9	Charging Box (Multi-Plug In)	1	15.0	2	100.0	772.593	773.107	780.280	7.173
2	22071912	38	7	Coffee Mug	1	15.0	2	100.0	780.782	781.624	789.040	7.416
2	22071912	39	27	Wallet	2	10.0	2	NaN	789.542	791.898	814.533	22.635
2	22071912	40	34	Watch	2	50.0	2	100.0	815.035	815.550	836.934	21.384
