Group	subID	trial	TimePressure	TimeConstraint	Vagueness	Vaguenesscode	ID1	ID2	ID3	V1	V2	V3	ID_left	ID_middle	ID_right	Bid_left	Bid_middle	Bid_right	chosenItem	RT	RTvariance	chosenPosition	chosenID	chosenValue	fixation_time	option_time	choice_time	feedback_time	timeout
2	22102705	1	Low	10.0	Vague	2	31	34	4	0.0	5.0	0.0	34	31	4	5.0	0.0	0.0	2	0.847	0.000	L	34	5.0	4.978	6.263	7.110	7.113	0
2	22102705	2	Low	10.0	Precise	1	31	35	25	0.0	0.0	0.0	35	31	25	0.0	0.0	0.0	2	3.068	0.001	L	35	0.0	7.616	10.530	13.598	13.601	0
2	22102705	3	Low	10.0	Precise	1	31	35	21	0.0	0.0	0.0	31	21	35	0.0	0.0	0.0	2	1.044	0.001	R	35	0.0	14.106	15.698	16.742	16.745	0
2	22102705	4	Low	10.0	Precise	1	32	35	23	0.0	0.0	0.0	23	32	35	0.0	0.0	0.0	2	1.285	0.000	R	35	0.0	17.248	20.017	21.302	21.305	0
2	22102705	5	Low	10.0	Vague	2	32	36	2	0.0	0.0	0.0	32	36	2	0.0	0.0	0.0	2	3.401	0.001	D	36	0.0	21.808	22.525	25.926	25.931	0
2	22102705	6	Low	10.0	Vague	2	31	35	6	0.0	0.0	0.0	31	35	6	0.0	0.0	0.0	2	3.291	0.001	D	35	0.0	26.436	27.315	30.606	30.609	0
2	22102705	7	Low	10.0	Precise	1	33	34	29	0.0	5.0	0.0	34	29	33	5.0	0.0	0.0	2	0.667	0.001	L	34	5.0	31.111	32.483	33.150	33.153	0
2	22102705	8	Low	10.0	Vague	2	31	35	10	0.0	0.0	0.0	10	35	31	0.0	0.0	0.0	2	1.372	0.000	D	35	0.0	33.655	35.138	36.510	36.513	0
2	22102705	9	Low	10.0	Precise	1	32	34	21	0.0	5.0	0.0	32	21	34	0.0	0.0	5.0	2	0.650	0.000	R	34	5.0	37.015	38.731	39.382	39.384	0
2	22102705	10	Low	10.0	Vague	2	31	32	4	0.0	0.0	0.0	31	32	4	0.0	0.0	0.0	3	3.772	0.000	R	4	0.0	39.888	42.106	45.878	45.880	0
2	22102705	11	Low	10.0	Precise	1	32	36	27	0.0	0.0	0.0	36	27	32	0.0	0.0	0.0	3	2.956	0.000	D	27	0.0	46.383	48.266	51.222	51.224	0
2	22102705	12	Low	10.0	Vague	2	31	34	8	0.0	5.0	0.0	34	31	8	5.0	0.0	0.0	2	0.654	0.000	L	34	5.0	51.727	53.503	54.158	54.160	0
2	22102705	13	Low	10.0	Vague	2	35	36	12	0.0	0.0	0.0	36	35	12	0.0	0.0	0.0	1	1.751	0.000	D	35	0.0	54.663	56.310	58.062	58.064	0
2	22102705	14	Low	10.0	Vague	2	33	36	10	0.0	0.0	0.0	36	10	33	0.0	0.0	0.0	3	3.511	0.001	D	10	0.0	58.566	59.119	62.630	62.632	0
2	22102705	15	Low	10.0	Vague	2	31	32	2	0.0	0.0	0.0	2	32	31	0.0	0.0	0.0	2	3.374	0.000	D	32	0.0	63.135	64.232	67.606	67.608	0
2	22102705	16	Low	10.0	Vague	2	32	33	2	0.0	0.0	0.0	2	33	32	0.0	0.0	0.0	1	1.958	0.000	R	32	0.0	68.111	70.712	72.670	72.672	0
2	22102705	17	Low	10.0	Vague	2	36	34	10	0.0	5.0	0.0	34	36	10	5.0	0.0	0.0	2	0.694	0.001	L	34	5.0	73.175	75.168	75.862	75.865	0
2	22102705	18	Low	10.0	Vague	2	35	34	6	0.0	5.0	0.0	35	6	34	0.0	0.0	5.0	2	0.650	0.000	R	34	5.0	76.368	77.275	77.926	77.928	0
2	22102705	19	Low	10.0	Vague	2	35	36	10	0.0	0.0	0.0	36	10	35	0.0	0.0	0.0	3	1.257	0.000	D	10	0.0	78.432	80.940	82.198	82.200	0
2	22102705	20	Low	10.0	Precise	1	35	36	21	0.0	0.0	0.0	35	36	21	0.0	0.0	0.0	1	1.065	0.000	L	35	0.0	82.703	85.028	86.094	86.096	0
2	22102705	21	Low	10.0	Vague	2	31	34	2	0.0	5.0	0.0	34	31	2	5.0	0.0	0.0	2	0.607	0.000	L	34	5.0	86.599	88.935	89.542	89.544	0
2	22102705	22	Low	10.0	Vague	2	35	34	8	0.0	5.0	0.0	8	35	34	0.0	0.0	5.0	2	0.503	0.001	R	34	5.0	90.048	92.687	93.190	93.192	0
2	22102705	23	Low	10.0	Precise	1	31	36	19	0.0	0.0	0.0	19	31	36	0.0	0.0	0.0	2	6.165	0.001	R	36	0.0	93.695	95.665	101.830	101.833	0
2	22102705	24	Low	10.0	Precise	1	33	35	29	0.0	0.0	0.0	33	29	35	0.0	0.0	0.0	3	2.870	0.001	D	29	0.0	102.335	105.256	108.126	108.129	0
2	22102705	25	Low	10.0	Precise	1	36	34	25	0.0	5.0	0.0	34	25	36	5.0	0.0	0.0	2	0.645	0.000	L	34	5.0	108.632	110.321	110.966	110.968	0
2	22102705	26	Low	10.0	Vague	2	36	34	4	0.0	5.0	0.0	4	34	36	0.0	5.0	0.0	2	1.258	0.000	D	34	5.0	111.471	114.308	115.566	115.568	0
2	22102705	27	Low	10.0	Vague	2	33	36	6	0.0	0.0	0.0	6	33	36	0.0	0.0	0.0	2	2.449	0.001	R	36	0.0	116.071	117.774	120.222	120.225	0
2	22102705	28	Low	10.0	Vague	2	32	35	12	0.0	0.0	0.0	12	35	32	0.0	0.0	0.0	2	1.851	0.001	D	35	0.0	120.727	122.187	124.038	124.040	0
2	22102705	29	Low	10.0	Precise	1	36	34	27	0.0	5.0	0.0	36	34	27	0.0	5.0	0.0	2	1.041	0.001	D	34	5.0	124.544	127.365	128.406	128.408	0
2	22102705	30	Low	10.0	Precise	1	32	34	29	0.0	5.0	0.0	34	29	32	5.0	0.0	0.0	2	0.543	0.000	L	34	5.0	128.911	130.935	131.478	131.480	0
2	22102705	31	Low	10.0	Vague	2	31	35	8	0.0	0.0	0.0	35	31	8	0.0	0.0	0.0	2	2.910	0.001	L	35	0.0	131.983	132.887	135.798	135.800	0
2	22102705	32	Low	10.0	Precise	1	31	32	27	0.0	0.0	0.0	31	32	27	0.0	0.0	0.0	3	1.933	0.000	R	27	0.0	136.303	138.896	140.830	140.832	0
2	22102705	33	Low	10.0	Vague	2	32	36	12	0.0	0.0	0.0	36	32	12	0.0	0.0	0.0	2	1.513	0.001	L	36	0.0	141.336	144.045	145.558	145.560	0
2	22102705	34	Low	10.0	Vague	2	31	32	6	0.0	0.0	0.0	31	6	32	0.0	0.0	0.0	3	1.506	0.001	D	6	0.0	146.063	148.396	149.902	149.904	0
2	22102705	35	Low	10.0	Precise	1	32	33	23	0.0	0.0	0.0	33	23	32	0.0	0.0	0.0	1	1.455	0.000	R	32	0.0	150.407	151.047	152.502	152.504	0
2	22102705	36	Low	10.0	Vague	2	33	34	8	0.0	5.0	0.0	33	8	34	0.0	0.0	5.0	2	0.657	0.001	R	34	5.0	153.007	154.293	154.950	154.952	0
2	22102705	37	Low	10.0	Precise	1	31	36	21	0.0	0.0	0.0	21	31	36	0.0	0.0	0.0	2	1.674	0.000	R	36	0.0	155.454	157.076	158.750	158.752	0
2	22102705	38	Low	10.0	Precise	1	31	36	23	0.0	0.0	0.0	31	23	36	0.0	0.0	0.0	2	0.753	0.000	R	36	0.0	159.255	161.109	161.862	161.864	0
